,amenities
0,"['Shampoo', 'Essentials', 'Dishwasher', 'Paidparkingoffpremises', 'Childrensdinnerware', 'Privateentrance', 'TVwithstandardcable', 'Washer', 'Luggagedropoffallowed', 'Coffeemaker', 'Highchair', 'Privatepatioorbalcony', 'Freeparkingonpremises', 'Gameconsole', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator', 'Wifi', 'Stove', 'Dryer', 'Iron', 'Babymonitor', 'Firstaidkit', 'Elevator', 'Hotwater', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Ethernetconnection', 'Heating', 'Dishesandsilverware', 'Childrensbooksandtoys', 'Hairdryer', 'Backyard', 'Oven', 'Airconditioning', 'Hostgreetsyou', 'Microwave']"
1,"['Carbonmonoxidealarm', 'Wifi', 'Washer', 'Paidparkingonpremises', 'Fireextinguisher', 'Firstaidkit', 'Hotwater', 'TV', 'Freedryer', 'Kitchen', 'Smokealarm', 'Lockonbedroomdoor']"
2,"['Hammock', 'Essentials', 'FreedryerInunit', 'Outdoorfurniture', 'Freewasher', 'Coffeemaker', 'Freeparkingonpremises', 'Wifi44Mbps', 'Outdoordiningarea', 'Cookingbasics', 'Refrigerator', 'Iron', 'Breakfast', 'TVwithNetflix', 'Freestreetparking', 'Hotwater', 'Gardenview', 'Kitchen', 'Firepit', 'Heating', 'Dishesandsilverware', 'PrivatebackyardFullyfenced', 'Hairdryer', 'Oven']"
3,"['Coffeemaker:Nespresso', 'Shampoo', 'Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Outdoorfurniture', 'Freewasher', 'Privatepatioorbalcony', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Toaster', 'Hotwaterkettle', 'Inductionstove', 'Iron', 'Wineglasses', 'Firstaidkit', 'Hotwater', 'TV', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Carbonmonoxidealarm', 'Centralheating', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Boardgames', 'Oven', 'Laundromatnearby', 'Freedryer', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
4,"['Sunloungers', 'Dishwasher', 'Coffeemaker:espressomachine', 'Blender', 'FreedryerInunit', 'Washer', 'Outdoorfurniture', 'Coffee', 'Outdoordiningarea', 'BBQgrill', 'Freeparkingonpremises', 'Windowguards', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Wifi', 'Freezer', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Kitchen', 'Bedlinens', 'Carbonmonoxidealarm', 'Centralheating', 'Firepit', 'Dishesandsilverware', 'Hairdryer', 'Boardgames', 'Oven', 'Bikes', 'Outdoorplayground', 'Otherinductionstove', 'Diningtable', 'Microwave']"
5,"['Exerciseequipment', 'FreedryerInunit', 'Washer', 'Wifi', 'Kitchen', 'Petsallowed']"
6,"['Coffeemaker:Nespresso', 'Essentials', 'Dishwasher', 'FreedryerInunit', 'Washer', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Toaster', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Bedlinens', 'Kitchen', 'Hangers', 'Stainlesssteeloven', 'Bakingsheet', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Extrapillowsandblankets', 'Diningtable', 'Hotwaterkettle']"
7,"['Carbonmonoxidealarm', 'Wifi', 'Heating', 'Iron', 'Hairdryer', 'Crib', 'Selfcheck-in', 'TV', 'Exteriorsecuritycamerasonproperty', 'Lockbox', 'Kitchen', 'Airconditioning', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm']"
8,"['Shampoo', 'Essentials', 'Dishwasher', 'Showergel', 'Cityskylineview', 'Blender', 'Dryingrackforclothing', 'Outdoorfurniture', 'Coffeemaker', 'Fastwifi199Mbps', 'Coffee', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Iron', 'Hotwater', 'Gardenview', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', 'Exerciseequipment', 'Portablefans', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Patioorbalcony', 'Clothingstorage', '44inchHDTVwithNetflix', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
10,"['HDTVwithAppleTV', 'Netflix', 'Shampoo', 'Paidstreetparkingoffpremises', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'Showergel', 'Boschstainlesssteelsingleoven', 'FreedryerInunit', 'Dryingrackforclothing', 'Outdoorfurniture', 'Stainlesssteelgasstove', 'Privatepatioorbalcony', 'Outdoordiningarea', 'Fastwifi370Mbps', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Freezer', 'Petsallowed', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Canalview', 'Coffeemaker:frenchpress', 'Conditioner', 'Firstaidkit', 'Hotwater', 'Bathtub', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'FreewasherInunit', 'Portablefans', 'Centralheating', 'Carbonmonoxidealarm', 'Ethernetconnection', 'Dishesandsilverware', 'Haierrefrigerator', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Fireextinguisher', 'Clothingstorage:closet', 'wardrobe', 'anddresser', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
